69,116000,83338,BMW,320i ,Kuala Lumpur,Auto,Positive,2014,110000,119999,1997
70,116000,98673,BMW,520i,Penang,Auto,Positive,2012,55000,59999,1997
71,115850,96616,BMW,535i ,Kuala Lumpur,Auto,Positive,2010,90000,94999,2979
72,115800,80654,BMW,118i,Penang,Auto,Positive,2016,65000,69999,1499
73,114800,95198,BMW,520i,Penang,Auto,Positive,2012,95000,99999,1997
74,112999,122325,BMW,528i,Kuala Lumpur,Auto,Positive,2013,75000,79999,1997
75,111000,84727,BMW,320i ,Penang,Auto,Positive,2014,120000,129999,1997
76,110000,88209,BMW,520i,Selangor,Auto,Positive,2012,200000,249999,1997
77,109999,87196,BMW,320i,Selangor,Auto,Positive,2015,90000,94999,1998
78,109800,99316,BMW,316i ,Sarawak,Auto,Positive,2015,35000,39999,1598
79,109800,89348,BMW,320i,Johor,Auto,Positive,2014,50000,54999,1997
80,109800,110521,BMW,328i,Johor,Auto,Positive,2012,85000,89999,1997
81,109000,100070,BMW,3 Series,Selangor,Auto,Positive,2014,60000,64999,1997
82,109000,88535,BMW,X5 ,Johor,Auto,Positive,2013,25000,29999,2996
83,106800,88311,BMW,320i,Perak,Auto,Positive,2015,80000,84999,1998
84,106600,112159,BMW,328i,Penang,Auto,Positive,2013,120000,129999,1997
85,105800,86589,BMW,320i,Selangor,Auto,Positive,2014,60000,64999,1997
86,105000,117425,BMW,M4,Kuala Lumpur,Auto,Positive,2001,100000,109999,3200
87,103800,86617,BMW,320i,Penang,Auto,Positive,2013,55000,59999,1995
88,103000,82220,BMW,320i,Johor,Auto,Positive,2013,95000,99999,1997
89,100000,70765,BMW,X5,Selangor,Auto,Positive,2011,140000,149999,2996
90,99800,111824,BMW,328i,Johor,Auto,Positive,2012,70000,74999,1997
91,99800,108029,BMW,328i,Johor,Auto,Positive,2012,120000,129999,1997
92,99800,98307,BMW,520d,Johor,Auto,Positive,2013,100000,109999,1995
93,99800,100980,BMW,520i,Johor,Auto,Positive,2013,55000,59999,1997
94,99300,110521,BMW,328i,Johor,Auto,Positive,2012,85000,89999,1997
95,99000,97848,BMW,X6,Johor,Auto,Positive,2009,100000,109999,2979
96,98999,95714,BMW,316i,Selangor,Auto,Positive,2015,20000,24999,1598
97,98800,92940,BMW,520i,Kuala Lumpur,Auto,Positive,2012,95000,99999,1997
98,98000,89044,BMW,320i,Kuala Lumpur,Auto,Positive,2015,75000,79999,1998
99,98000,98587,BMW,520i,Kuala Lumpur,Auto,Positive,2012,30000,34999,1997
100,98000,74143,BMW,X5,Penang,Auto,Positive,2010,90000,94999,2996
101,97800,81465,BMW,320i,Johor,Auto,Positive,2013,110000,119999,1997
102,97500,94130,BMW,316i,Johor,Auto,Positive,2015,60000,64999,1598
103,97000,111389,BMW,328i,Johor,Auto,Positive,2012,75000,79999,1997
104,96800,80329,BMW,320i,Selangor,Auto,Positive,2013,95000,99999,1997
105,96800,94133,BMW,520i,Selangor,Auto,Positive,2012,75000,79999,1997
106,96000,86290,BMW,X1,Kuala Lumpur,Auto,Positive,2014,50000,54999,1995
107,95799,92212,BMW,520i,Selangor,Auto,Positive,2011,60000,64999,1998
108,95700,101892,BMW,Z4,Kuala Lumpur,Auto,Positive,2010,95000,99999,2497
109,95600,96458,BMW,520i,Johor,Auto,Positive,2012,70000,74999,1997
110,95000,72809,BMW,320i,Negeri Sembilan,Auto,Positive,2012,150000,159999,1997
111,95000,98808,BMW,520i,Johor,Auto,Positive,2013,80000,84999,1997
112,94888,86589,BMW,320i,Selangor,Auto,Positive,2014,60000,64999,1997
113,93801,111824,BMW,328i,Johor,Auto,Positive,2012,70000,74999,1997
114,93800,94087,BMW,316i,Kuala Lumpur,Auto,Positive,2015,45000,49999,1598
115,93800,94564,BMW,316i,Johor,Auto,Positive,2015,55000,59999,1598
116,93800,81607,BMW,320i,Johor,Auto,Positive,2012,65000,69999,1997
117,93000,86107,BMW,X1,Sabah,Auto,Positive,2013,65000,69999,1995
118,92800,86265,BMW,320i,Kuala Lumpur,Auto,Positive,2014,70000,74999,1997
119,92800,111824,BMW,328i,Johor,Auto,Positive,2012,70000,74999,1997
120,91888,86589,BMW,320i,Selangor,Auto,Positive,2014,60000,64999,1997
121,90888,101693,BMW,520d,Selangor,Auto,Positive,2014,70000,74999,1995
122,90000,83740,BMW,316i,Kuala Lumpur,Auto,Positive,2013,90000,94999,1598
123,90000,104222,BMW,3 Series,Selangor,Auto,Positive,2015,75000,79999,1598
124,90000,94133,BMW,520i,Selangor,Auto,Positive,2012,75000,79999,1997
125,90000,89552,BMW,X6,Kuala Lumpur,Auto,Positive,2009,180000,189999,2979
126,89999,84391,BMW,320i,Johor,Auto,Positive,2013,70000,74999,1997
127,89888,70682,BMW,523i,Penang,Auto,Positive,2011,110000,119999,2497
128,89000,95637,BMW,535i,Selangor,Auto,Positive,2010,95000,99999,2979
129,89000,50017,BMW,E90,Kuala Lumpur,Auto,Positive,2010,100000,109999,2979
130,89000,97622,BMW,X6,Sabah,Auto,Positive,2008,100000,109999,2979
131,88800,102492,BMW,218i,Selangor,Manual,Positive,2015,30000,34999,1499
132,88500,77545,BMW,320i,Selangor,Auto,Positive,2012,90000,94999,1997
133,87888,85169,BMW,X1,Selangor,Auto,Positive,2015,100000,109999,1995
134,87800,98186,BMW,320d ,Kuala Lumpur,Auto,Positive,2013,70000,74999,1995
135,86993,108306,BMW,328i,Kuala Lumpur,Auto,Positive,2012,95000,99999,1997
136,86800,90178,BMW,316i,Kuala Lumpur,Auto,Positive,2015,90000,94999,1598
137,86800,95255,BMW,520d,Selangor,Auto,Positive,2012,70000,74999,1995
138,86800,94931,BMW,520d,Kuala Lumpur,Auto,Positive,2012,80000,84999,1995
139,86800,110613,BMW,528i,Selangor,Auto,Positive,2011,65000,69999,2996
140,85800,68332,BMW,523i,Penang,Auto,Positive,2010,100000,109999,2497
141,85000,107252,BMW,528i,Selangor,Auto,Positive,2011,110000,119999,2996
142,82800,84238,BMW,320i,Selangor,Auto,Positive,2013,50000,54999,1997
143,81800,73701,BMW,523i,Kuala Lumpur,Auto,Positive,2012,80000,84999,2497
144,80888,104530,BMW,218i,Selangor,Auto,Positive,2016,60000,64999,1499
145,79999,63468,BMW,523i,Kuala Lumpur,Auto,Positive,2010,130000,139999,2497
146,79800,91712,BMW,520d,Kuala Lumpur,Auto,Positive,2011,80000,84999,1995
147,79800,67164,BMW,523i,Johor,Auto,Positive,2011,140000,149999,2497
148,77500,66829,BMW,523i,Kuala Lumpur,Auto,Positive,2010,85000,89999,2497
